Date,Open,High,Low,Close,Adj Close,Volume
2020-05-08,9936.160156,9767.170898,9996.741211,9842.665039,9842.665039,0
2020-05-11,8755.532227,8374.325195,9033.472656,8601.794922,8601.794922,0
2020-05-12,8610.386719,8569.641602,8949.899414,8804.475586,8804.475586,0
2020-05-13,8805.390625,8805.390625,9317.875977,9269.988281,9269.988281,0
2020-05-14,9271.329102,9255.034180,9793.264648,9733.724609,9733.724609,0
2020-05-15,9734.292969,9261.394531,9755.831055,9328.192383,9328.192383,0
2020-05-18,9675.700195,9570.358398,9906.031250,9726.576172,9726.576172,0
2020-05-19,9727.068359,9539.626953,9836.042969,9729.036133,9729.036133,0
2020-05-20,9725.328125,9447.197266,9804.795898,9522.984375,9522.984375,0
2020-05-21,9522.739258,8869.934570,9555.241211,9081.761719,9081.761719,0
2020-05-22,9080.334961,9008.635742,9232.937500,9182.576172,9182.576172,0
2020-05-25,8786.111328,8719.665039,8951.004883,8906.932617,8906.932617,0
2020-05-26,8909.583008,8757.295898,8991.964844,8835.053711,8835.053711,0
2020-05-27,8837.380859,8834.156250,9203.323242,9181.016602,9181.016602,0
2020-05-28,9184.946289,9148.460938,9546.321289,9525.750977,9525.750977,0
2020-05-29,9528.356445,9379.340820,9573.666016,9439.126953,9439.126953,0
2020-06-01,9463.603516,9450.902344,10199.564453,10167.271484,10167.271484,0
2020-06-02,10162.973633,9460.567383,10182.344727,9529.799805,9529.799805,0
2020-06-03,9533.760742,9471.849609,9682.857422,9656.713867,9656.713867,0
2020-06-04,9655.855469,9525.242188,9887.607422,9800.634766,9800.634766,0
2020-06-05,9800.212891,9663.216797,9869.232422,9665.534180,9665.534180,0
2020-06-08,9760.058594,9675.886719,9782.304688,9771.494141,9771.494141,0
2020-06-09,9774.359375,9664.720703,9836.372070,9795.701172,9795.701172,0
2020-06-10,9794.118164,9728.289063,9908.897461,9870.089844,9870.089844,0
2020-06-11,9870.080078,9263.067383,9938.292969,9321.784180,9321.784180,0
2020-06-12,9320.689453,9285.852539,9540.463867,9480.847656,9480.847656,0
2020-06-15,9386.031250,8990.178711,9504.863281,9450.706055,9450.706055,0
2020-06-16,9454.261719,9400.449219,9579.433594,9538.025391,9538.025391,0
2020-06-17,9533.788086,9327.339844,9540.418945,9480.253906,9480.253906,0
2020-06-18,9481.567383,9328.392578,9482.780273,9411.844727,9411.844727,0
2020-06-19,9410.294922,9274.295898,9440.874023,9288.017578,9288.017578,0
2020-06-22,9300.915039,9296.868164,9655.072266,9648.719727,9648.719727,0
2020-06-23,9644.075195,9547.250977,9670.543945,9629.662109,9629.662109,0
2020-06-24,9632.148438,9278.236328,9680.364258,9313.614258,9313.614258,0
2020-06-25,9314.126953,9095.324219,9340.164063,9264.809570,9264.809570,0
2020-06-26,9260.991211,9101.740234,9310.518555,9162.920898,9162.920898,0
2020-06-29,9140.032227,9041.877930,9237.576172,9190.855469,9190.855469,0
2020-06-30,9185.579102,9084.838867,9217.838867,9137.995117,9137.995117,0
2020-07-01,9145.984375,9104.731445,9309.755859,9228.327148,9228.327148,0
2020-07-02,9231.138672,9036.623047,9274.966797,9123.413086,9123.413086,0
2020-07-03,9124.844727,9058.791992,9202.340820,9087.307617,9087.307617,0
2020-07-06,9072.854492,9058.668945,9375.471680,9375.471680,9375.471680,0
2020-07-07,9349.158203,9201.816406,9360.614258,9252.277344,9252.277344,0
2020-07-08,9253.021484,9249.496094,9450.339844,9428.332031,9428.332031,0
2020-07-09,9427.994141,9235.000977,9431.381836,9277.969727,9277.969727,0
2020-07-10,9273.358398,9118.005859,9287.474609,9278.804688,9278.804688,0
2020-07-13,9277.204102,9224.292969,9306.403320,9243.613281,9243.613281,0
2020-07-14,9238.703125,9171.661133,9283.844727,9243.211914,9243.211914,0
2020-07-15,9241.896484,9171.930664,9275.328125,9192.840820,9192.840820,0
2020-07-16,9191.979492,9088.951172,9214.313477,9132.227539,9132.227539,0
2020-07-17,9131.811523,9089.198242,9182.255859,9151.391602,9151.391602,0
2020-07-20,9187.215820,9137.509766,9214.271484,9164.231445,9164.231445,0
2020-07-21,9162.518555,9149.389648,9407.266602,9374.891602,9374.891602,0
2020-07-22,9375.076172,9319.656250,9530.517578,9525.360352,9525.360352,0
2020-07-23,9527.139648,9483.005859,9610.247070,9581.068359,9581.068359,0
2020-07-24,9585.512695,9481.450195,9623.333008,9536.888672,9536.888672,0
2020-07-27,9905.216797,9903.971680,11298.222656,10990.871094,10990.871094,0
2020-07-28,11017.461914,10632.630859,11204.331055,10912.825195,10912.825195,0
2020-07-29,10912.956055,10856.136719,11304.390625,11100.466797,11100.466797,0
2020-07-30,11099.837891,10895.453125,11169.352539,11111.209961,11111.209961,0
2020-07-31,11110.209961,10987.055664,11415.864258,11323.463867,11323.463867,0
2020-08-03,11043.768555,11012.415039,11453.074219,11246.354492,11246.354492,0
2020-08-04,11246.202148,11094.149414,11385.385742,11205.888672,11205.888672,0
2020-08-05,11203.829102,11158.286133,11786.615234,11747.016602,11747.016602,0
2020-08-06,11749.874023,11598.707031,11902.338867,11779.770508,11779.770508,0
2020-08-07,11778.896484,11408.596680,11898.034180,11601.466797,11601.466797,0
2020-08-10,11662.255859,11662.255859,12045.145508,11878.107422,11878.107422,0
2020-08-11,11881.648438,11195.712891,11932.704102,11410.523438,11410.523438,0
2020-08-12,11404.602539,11249.606445,11748.396484,11584.934570,11584.934570,0
